date,open,high,low,close
2026-06-11,4042.8999,4209.7998,4031.0000,4090.3000
2026-06-12,4208.2998,4225.2998,4173.2002,4215.0000
2026-06-15,4271.2002,4362.0000,4269.1001,4328.0000
2026-06-16,4309.5000,4345.7998,4309.5000,4330.8999
2026-06-17,4339.0000,4377.0000,4296.0000,4358.8999
2026-06-18,4279.7998,4323.2002,4223.7002,4224.1001
2026-06-22,4138.7998,4216.3999,4134.7998,4181.8999
2026-06-23,4127.1001,4135.2002,4118.5000,4129.8999
2026-06-24,4104.3999,4104.7002,3963.3000,3990.3000
2026-06-25,3988.3999,4030.5000,3986.7000,4030.5000
2026-06-26,4078.7000,4078.7000,4078.7000,4078.7000
2026-06-29,4057.5000,4070.0000,4003.2000,4022.3000
2026-06-30,4002.6001,4049.7000,3962.5000,4022.8999
2026-07-01,4013.1001,4100.0000,3963.0000,4068.3000
2026-07-02,4067.5000,4140.1001,4062.0000,4112.7002
2026-07-06,4175.3999,4199.7002,4134.2002,4155.1001
2026-07-07,4126.5000,4167.2002,4107.2002,4145.2998
2026-07-08,4116.2998,4120.2998,4053.0000,4070.8999
2026-07-09,4066.3999,4130.6001,4064.2000,4130.6001
2026-07-10,4122.2998,4125.7998,4090.6001,4104.1001
2026-07-13,4081.0000,4081.0000,3985.8999,3997.0000
2026-07-14,3995.7000,4091.2000,3986.5000,4061.1001
2026-07-15,4049.1001,4070.1001,4019.3999,4044.0000
2026-07-16,4030.5000,4030.5000,3972.6001,3985.6001
2026-07-17,3975.5000,4017.2000,3964.2000,4012.7000
2026-07-20,4003.3999,4018.8999,4002.7000,4010.3000
2026-07-21,4002.1001,4071.1001,3999.7000,4071.1001
2026-07-22,4084.7000,4171.3999,4081.0000,4135.0000
