date,open,high,low,close
2026-03-13,159.2100,159.6310,159.0040,159.2060
2026-03-16,159.5120,159.6210,158.8540,159.5680
2026-03-17,159.1390,159.4870,158.7250,159.1050
2026-03-18,158.8900,159.5660,158.5670,158.8890
2026-03-19,159.8160,159.8160,158.0740,159.7950
2026-03-20,157.9150,159.2570,157.7370,157.9240
2026-03-23,159.1400,159.6500,158.2250,159.2340
2026-03-24,158.4900,158.9370,158.4090,158.4790
2026-03-25,158.7100,159.2250,158.5770,158.7180
2026-03-26,159.4010,159.6890,159.2870,159.3840
2026-03-27,159.7150,160.1580,159.4560,159.7040
2026-03-29,160.2310,160.2310,159.3210,160.2340
2026-03-30,159.7540,159.9590,158.8920,159.8410
2026-03-31,158.5680,158.9900,158.2790,158.5790
2026-04-01,158.6990,159.7420,158.6010,158.6880
2026-04-02,159.4560,159.6950,159.4270,159.4910
2026-04-05,159.7500,159.7930,159.3170,159.7800
2026-04-06,159.7060,160.0150,159.4730,159.6830
2026-04-07,158.6480,158.7470,157.8930,158.7160
2026-04-08,158.6340,159.2800,158.6340,158.6420
2026-04-09,159.0890,159.3640,159.0090,159.1120
2026-04-12,159.6970,159.8500,159.5170,159.6800
2026-04-13,159.2620,159.3240,158.6030,159.2140
2026-04-14,158.7630,159.1530,158.6520,158.7920
2026-04-15,158.7830,159.2870,158.2780,158.8090
2026-04-16,159.2240,159.5150,157.6120,159.1950
2026-04-19,159.1530,159.1770,158.5510,159.1610
2026-04-20,158.8540,159.4310,158.8030,158.8440
2026-04-21,159.3380,159.5040,159.1040,159.3730
2026-04-22,159.4940,159.7760,159.2980,159.4880
2026-04-23,159.7420,159.8370,159.3360,159.7470
2026-04-26,159.5750,159.5750,159.0900,159.5760
2026-04-27,159.3590,159.7840,158.9700,159.3570
2026-04-28,159.5450,160.2880,159.5210,159.5520
2026-04-29,160.1930,160.7020,155.5510,160.1840
2026-04-30,156.9940,157.3090,155.5160,156.9780
2026-05-03,156.9000,157.2770,155.8150,156.8460
2026-05-04,157.2050,157.8350,157.1210,157.1940
2026-05-05,157.6650,157.8890,155.0470,157.6770
2026-05-06,156.5110,156.5110,156.0360,156.5080
2026-05-07,156.8380,156.9730,156.4460,156.8290
2026-05-10,156.8890,157.1690,156.8550,156.8580
2026-05-11,157.2700,157.7460,156.8090,157.2310
2026-05-12,157.6750,157.8910,157.5790,157.6710
2026-05-13,157.8470,158.1830,157.6090,157.8510
2026-05-14,158.3930,158.7380,158.3050,158.3820
2026-05-17,158.8690,159.0590,158.6400,158.8440
2026-05-18,158.8750,159.2420,158.7780,158.8610
2026-05-19,159.0530,159.1660,158.5940,159.0350
2026-05-20,158.8880,159.3180,158.8180,158.8880
2026-05-21,159.0480,159.2250,159.0000,159.0180
2026-05-24,158.9420,159.0370,158.7590,158.9460
2026-05-25,158.9480,159.3720,158.9070,158.9540
2026-05-26,159.2240,159.5180,159.1740,159.2430
2026-05-27,159.5740,159.6430,159.1660,159.5680
2026-05-28,159.2610,159.3760,159.0990,159.2700
2026-05-31,159.3830,159.7490,159.3680,159.3530
2026-06-01,159.6400,159.8950,159.6360,159.6360
2026-06-02,159.9750,159.9940,159.5120,159.9680
2026-06-03,159.9460,160.0210,159.7500,159.9400
2026-06-04,159.9900,160.2900,159.8240,159.9900
2026-06-07,160.3280,160.3880,159.9060,160.3270
2026-06-08,160.1820,160.2990,160.0550,160.1740
2026-06-09,160.3820,160.5210,160.2510,160.3840
2026-06-10,160.5080,160.5860,160.4270,160.5270
2026-06-11,160.1680,160.3690,159.9730,160.1300
2026-06-14,159.9160,160.2220,159.8870,159.9550
2026-06-15,160.2400,160.4580,160.0580,160.2290
2026-06-16,160.4140,160.4220,160.1180,160.4190
2026-06-17,160.5500,161.3660,160.5390,160.6000
2026-06-18,161.2480,161.4490,161.0060,161.2890
2026-06-21,161.4330,161.9140,161.1030,161.4330
2026-06-22,161.5470,161.7330,161.3100,161.5700
2026-06-23,161.5580,161.8020,161.5310,161.5990
2026-06-24,161.7330,161.9350,161.5870,161.7630
2026-06-25,161.7900,161.8430,161.5350,161.8050
2026-06-28,161.7630,161.9550,161.7190,161.7870
2026-06-29,161.9200,162.6510,161.9200,161.9230
2026-06-30,162.6600,162.8360,162.2940,162.6280
2026-07-01,162.5420,162.5840,160.6880,162.5390
2026-07-02,161.4040,161.4940,160.6200,161.4490
2026-07-05,161.4870,162.4240,161.4650,161.4520
2026-07-06,162.0950,162.1730,161.6880,162.0880
2026-07-07,162.3620,162.6980,162.0800,162.3630
2026-07-08,162.5100,162.5650,162.2470,162.5390
2026-07-09,162.3350,162.4190,161.2920,162.3630
2026-07-12,161.8860,162.3930,161.8860,161.8780
2026-07-13,162.4130,162.4660,161.6950,162.4290
2026-07-14,162.1870,162.4150,161.9670,162.1870
2026-07-15,162.0840,162.4690,161.9800,162.0720
2026-07-16,162.3810,162.4670,162.1470,162.3760
2026-07-17,162.3530,162.5190,162.1110,162.3530
